DateTime,PropMode,Distance
08/07/2014 07:21,Es,842.5
08/07/2014 07:25,Es,842.5
08/07/2014 07:25,Es,922.1
08/07/2014 07:25,Es,946.5
08/07/2014 07:32,Es,1013.7
08/07/2014 07:33,Es,1038.7
08/07/2014 07:36,Es,822.9
08/07/2014 07:39,Es,1045.2
08/07/2014 07:39,Es,1107.4
08/07/2014 07:43,Es,764.7
08/07/2014 07:44,Es,1009.5
08/07/2014 07:45,Es,1024
08/07/2014 07:46,Es,939.6
08/07/2014 07:47,Es,984.6
08/07/2014 07:48,Es,764.7
08/07/2014 07:48,Es,959.4
08/07/2014 07:56,Es,763.7
08/07/2014 07:58,Es,728.2
08/07/2014 07:58,Es,935
08/07/2014 08:03,Es,728.2
08/07/2014 08:17,Es,640.7
08/07/2014 08:28,Es,935
08/07/2014 08:40,Es,922.1
08/07/2014 08:40,Es,1045.3
08/07/2014 08:41,Es,720
08/07/2014 08:43,Es,751.3
08/07/2014 08:49,Es,714.7
08/07/2014 08:55,Es,1049
08/07/2014 08:59,Es,794.8
08/07/2014 09:02,Es,707.3
08/07/2014 09:02,Es,989.9
08/07/2014 09:03,Es,742.5
08/07/2014 09:11,Es,995.8
09/07/2014 15:29,Es,1247.4
09/07/2014 15:33,Es,1247.4
09/07/2014 15:40,Es,996.1
09/07/2014 15:40,Es,996.1
09/07/2014 15:40,Es,1191.4
09/07/2014 15:42,Es,1239.3
09/07/2014 16:04,Es,1214.4
09/07/2014 16:05,Es,1253.2
09/07/2014 19:23,Es,1322.9
09/07/2014 19:54,Es,1168.3
12/07/2014 21:02,Es,1036.5
13/07/2014 07:54,Es,1300.5
13/07/2014 07:56,Es,1322.9
13/07/2014 07:59,Es,698.2
13/07/2014 07:59,Es,1025.1
13/07/2014 08:00,Es,1266.4
13/07/2014 08:06,Es,943.4
13/07/2014 08:15,Es,876.4
13/07/2014 08:16,Es,1033.4
13/07/2014 08:29,Es,1024.6
13/07/2014 08:30,Es,1114.6
13/07/2014 08:31,Es,1114.6
13/07/2014 08:34,Es,1114.6
13/07/2014 08:39,Es,1007.4
13/07/2014 08:41,Es,848.8
13/07/2014 08:44,Es,645.8
13/07/2014 10:49,Es,1383.7
13/07/2014 11:10,Es,977.8
20/07/2014 12:37,Es,832.4
20/07/2014 12:38,Es,1060.4
20/07/2014 12:39,Es,859.8
20/07/2014 12:40,Es,1011
20/07/2014 12:41,Es,849.4
20/07/2014 12:42,Es,718.3
20/07/2014 12:42,Es,848.7
20/07/2014 12:42,Es,899.7
20/07/2014 12:42,Es,1018.9
20/07/2014 12:44,Es,916.4
20/07/2014 12:45,Es,848
20/07/2014 12:45,Es,852.3
20/07/2014 12:45,Es,940.6
20/07/2014 12:45,Es,1363.2
20/07/2014 12:46,Es,849.4
20/07/2014 12:47,Es,694.6
20/07/2014 12:53,Es,870.3
20/07/2014 12:53,Es,895.9
20/07/2014 12:54,Es,848
20/07/2014 12:55,Es,846.9
20/07/2014 12:55,Es,849.3
20/07/2014 12:56,Es,877.3
20/07/2014 12:56,Es,1312.3
20/07/2014 12:59,Es,721.8
20/07/2014 12:59,Es,831.1
20/07/2014 12:59,Es,1126.5
20/07/2014 13:00,Es,821.9
20/07/2014 14:02,Es,822.8
20/07/2014 14:03,Es,822.8
20/07/2014 14:04,Es,787.6
20/07/2014 14:04,Es,949.9
20/07/2014 14:04,Es,973.8
20/07/2014 14:05,Es,889.1
20/07/2014 14:17,Es,1021.4
20/07/2014 14:20,Es,818.8
20/07/2014 14:20,Es,863.1
20/07/2014 14:20,Es,872.7
20/07/2014 14:20,Es,1015.3
20/07/2014 14:23,Es,720.5
20/07/2014 14:23,Es,1322.9
20/07/2014 14:24,Es,679.1
20/07/2014 14:24,Es,846.1
20/07/2014 14:24,Es,849
20/07/2014 14:26,Es,772.2
20/07/2014 14:26,Es,927.9
